色番号,色名,R,G,B,L,a,b,カテゴリ
A111,ダークカーキ,121,95,38,41.83,3.83,35.66,1
A112,ミルキーモスグリーン,186,184,162,74.4,-3.13,11.43,1
A113,パステルモスグリーン,114,140,84,55.04,-19.54,26.93,1
A114,ライトモスグリーン,126,124,68,51.0,-7.88,30.72,1
A115,モスグリーン,100,105,46,42.78,-11.18,32.06,1
A116,ダークモスグリーン,78,88,44,35.56,-11.8,24.09,1
A117,アイビーグリーン,74,94,45,37.21,-16.81,25.47,1
A118,フロスティブルー,113,196,82,71.96,-46.16,48.55,1
A119,ポーラーミント,102,204,153,75.02,-41.54,16.45,1
A120,セラドン,86,154,131,58.72,-27.23,5.38,1
A121,ドーミーグリーン,20,194,91,69.1,-62.32,40.34,1
A122,パロットグリーン,24,168,24,60.13,-60.7,57.08,1
A123,ケールグリーン,4,85,46,31.16,-32.44,16.64,1
A124,ライトビリジアン,19,107,90,40.23,-29.16,2.46,1
A125,ビリジアン,5,70,65,26.14,-20.07,-2.41,1
A126,ミルキーローズ,217,182,214,77.91,18.03,-11.37,1
A127,ミルキーグレープ,173,98,164,52.18,40.02,-22.71,1
A128,ミルキーピーチ,230,140,163,68.19,37.01,2.55,1
A129,フラゴナールピンク,222,84,121,55.33,56.78,8.1,1
A130,ミルキーラベンダー,158,130,186,58.77,21.68,-25.38,1
A131,フラミンゴピンク,232,65,107,54.03,65.92,14.84,1
A132,ピンクパープル,183,56,143,45.47,59.2,-20.43,1
A133,アメジストパープル,88,31,126,25.45,43.0,-42.57,1
A134,ペールアイリス,140,163,212,66.92,3.67,-27.53,1
A135,ミルキーウィステリア,154,154,204,65.23,10.88,-25.6,1
A136,ミルキーウルトラマリン,89,129,193,53.68,4.75,-37.68,1
A137,ライトウルトラマリン,65,102,176,43.89,10.66,-43.42,1
A138,アガパンサスブルー,71,95,171,41.94,14.55,-43.57,1
A139,ライトサルビアブルー,55,69,147,32.2,19.87,-44.85,1
A140,ウルトラマリン,61,86,165,38.49,16.27,-45.57,1
A141,ディープウルトラマリン,41,66,153,31.04,21.82,-50.43,1
A142,サルビアブルー,37,38,138,22.35,34.24,-55.39,1
A143,ネイビー,26,47,111,21.58,16.33,-39.56,1
A144,ミルキーマスカット,211,201,93,79.85,-10.25,54.23,1
A145,ワインレッド,81,9,24,15.55,32.81,11.69,1
A146,ライトセラドン,100,179,158,67.59,-29.41,3.16,1
A147,チョコブラウン,99,67,56,31.7,12.3,12.24,1
A148,ライトバターイエロー,237,211,158,85.54,1.48,29.59,1
A149,ウィステリア,105,99,171,45.45,20.31,-37.84,1
A150,ダークアイビーグリーン,43,63,31,24.22,-14.97,17.09,1
A151,ライトウィステリア,151,145,197,62.39,13.41,-26.07,1
A152,ホワイトウィステリア,184,189,224,77.26,5.42,-18.04,1
A153,ミルキーベージュ,249,200,152,83.82,11.14,30.6,1
A154,カフェオレブラウン,195,144,105,63.81,14.47,28.24,1
A155,アイアングレー,68,80,91,33.4,-1.94,-8.01,1
A156,ミリタリーグレー,62,73,85,30.51,-1.29,-8.58,1
A157,チャコールブラック,32,40,48,15.69,-1.17,-6.37,1
